CaseID	VehicleNumber	Discussion	PSU	PSUStrata	RATWeight
111004141	1	Vehicle 1 -1984 Ford Econoline Clubwagon van  The driver of the 1984 Ford Econoline Clubwagon van, a 92-year old male, was traveling east on a 2-lane undivided roadway approaching a T-intersection with another 2-lane roadway. The driver of the Ford slowed	4	3	22.769
111004141	2	Vehicle 2 - 2000 Mack straight dump truck  The driver of the empty 2000 Mack straight dump truck, a 36-year old male, was traveling west on a 2-lane undivided roadway approaching a T-intersection with another 2-lane roadway. The intersecting road was loca	4	3	22.769
116005611	1	Vehicle #1, 1998 Navistar International flatbed straight truck   The 43-year-old male was driving a 1998 Navistar International flatbed straight truck (Vehicle #1) westbound on a one lane, one way, level, dry, local urban asphalt roadway with parking perm	3	1	63.274
116005611	2	Vehicle #2, 1984 Honda Motorcycle   The 38-year-old female motorcyclist who was 173 cm (68") tall and weighed 103 kg (227 lb.) was driving a 1984 Honda motorcycle northbound on a two lane, undivided, level, dry, local urban asphalt roadway with parking pe	3	1	63.274
153006977	1	A single vehicle crash occurred on the southbound on-ramp for a four-lane northbound divided state highway in the early afternoon hours.  This transition ramp comes off of a two-lane state highway.  The ramp is one-lane with a -4/122cm (-3%) grade and a s	75	11	127.287
161005202	1	Vehicle 1 - 2000 Ford F150 4x4 pickup truck  The driver of the 2000 Ford F150 4x4 pickup truck, a 30-year old male, was traveling north on a 3 lane divided roadway (1 lane north, 2 lanes south) approaching a 4-way intersection. As the driver of the Ford e	43	9	205.616
161005202	2	Vehicle 2 - 1999 International straight truck  The driver of the 1999 International straight truck, a 34-year old male, was traveling south on a 3-lane roadway (2 lanes south, 1 lane north) in the second lane of travel, which was a left turn-only lane. Th	43	9	205.616
207003882	1	A two-vehicle crash occurred on an off ramp from an interstate traffic way.  This off ramp is one lane, and curves to the right.  At the point of impact the off ramp combines with the on ramp for a two-lane road.  This crash occurred just west off that co	78	12	0
207003882	2	A two-vehicle crash occurred on an off ramp from an interstate traffic way.  This off ramp is one lane, and curves to the right.  At the point of impact the off ramp combines with the on ramp for a two-lane road.  This crash occurred just west off that co	78	12	0
207004905	1	The crash occurred on a rural interstate that consisted of four lanes divided by a depressed median.  There were two lanes on each side of the median.  The shoulders were paved with depressed rumble strips.  The asphalt roadway was dry, level and straight	78	12	49.662
222004325	1	A three-vehicle crash occurred on a ten-lane urban interstate freeway.  A concrete jersey barrier divided the five north and five southbound lanes and there were shoulders on both sides of the roadway.  The fifth lane was a High Occupancy Vehicle (HOV) la	82	10	33.237
222004325	2	A three-vehicle crash occurred on a ten-lane urban interstate freeway.  A concrete jersey barrier divided the five north and five southbound lanes and there were shoulders on both sides of the roadway.  The fifth lane was a High Occupancy Vehicle (HOV) la	82	10	33.237
222004325	3	A three-vehicle crash occurred on a ten-lane urban interstate freeway.  A concrete jersey barrier divided the five north and five southbound lanes and there were shoulders on both sides of the roadway.  The fifth lane was a High Occupancy Vehicle (HOV) la	82	10	33.237
222004362	1	A single vehicle crash occurred during the morning rush hour, but traffic on this section of the freeway was not congested at the time. There were four eastbound lanes where the crash occurred.  The road was constructed of concrete with concrete shoulders	82	10	62.628
222005126	1	Vehicle #12- 1999 Mack 4-axle dump truck   The driver, a 35 year old male, of a 1999 Mack 4-axle dump truck (Vehicle #1) which was fully loaded with sand was traveling westbound in the right lane of a four lane divided (two lanes westbound/two lanes eastb	5	2	790.707
240006845	1	Vehicle #1, 2002 GMC Savana cargo van  The crash occurred on a north/south four lane, undivided, positive 3.3 percent slope, dry asphalt, minor urban arterial roadway with private driveways on both sides of the road.  Conditions were daylight and dry duri	12	5	292.312
240006845	2	Vehicle #2, 1996 Ford Bronco  The crash occurred on a north/south four lane, undivided, positive 3.3 percent slope, dry asphalt, minor urban arterial roadway with private driveways on both sides of the road.  Conditions were daylight and dry during the mi	12	5	292.312
240006845	3	Vehicle #3, 1994 Volvo truck tractor pulling a 2000 Fontaine step deck flatbed semi-trailer  The crash occurred on a north/south four lane, undivided, positive 3.3 percent slope, dry asphalt, minor urban arterial roadway with private driveways on both sid	12	5	292.312
329005924	1	Vehicle 1, a 2000 Chevrolet Blazer SUV, was eastbound on a level, two lane, undivided roadway. Vehicle 2, a 1999 Kenworth dump truck with a GVW of 80,000 pounds, was westbound on this same two lane, undivided roadway.  Vehicle 2 was empty, was traveling a	4	3	53.409
329005924	2	Vehicle 1, a 2000 Chevrolet Blazer SUV, was eastbound on a level, two lane, undivided roadway. Vehicle 2, a 1999 Kenworth dump truck with a GVW of 80,000 pounds, was westbound on this same two lane, undivided roadway.  Vehicle 2 was empty, was traveling a	4	3	53.409
329005981	1	Vehicle 1 - 1988 Nissan Sentra 4-door sedan  The driver of the 1988 Nissan Sentra 4-door sedan, a 78-year old female, was traveling east on a 2-lane roadway divided by a concrete median barrier (4 lanes total) in the first lane of travel. As she approache	4	3	22.769
329005981	2	Vehicle 2 - 1989 Honda Prelude 2-door coupe  The driver of the 1989 Honda Prelude 2-door coupe, a 41-year old male, was traveling east on a 2-lane roadway divided by a concrete median barrier (4 lanes total) in the first lane of travel. As he approached a	4	3	22.769
329005981	3	Vehicle 3 - 1999 Chrysler Concorde 4-door sedan  The driver of the 1999 Chrysler Concorde 4-door sedan, a 27-year old female, was traveling east on a 2-lane roadway divided by a concrete median barrier (4 lanes total) in the first lane of travel. As she a	4	3	22.769
329005981	4	Vehicle 4 - 1995 Dodge Ram pickup truck  The driver of the 1995 Dodge Ram pickup truck, a 33-year old male, was traveling east on a 2-lane roadway divided by a concrete median barrier (4 lanes total) in the first lane of travel. He was following a 2000 Is	4	3	22.769
329005981	5	Vehicle 5 - 2000 Lincoln Continental 4-door sedan  The driver of the 2000 Lincoln Continental 4-door sedan, a 56-year old female, was traveling east on a 2-lane roadway divided by a concrete median barrier (4 lanes total) in the second (left) lane of trav	4	3	22.769
329005981	6	Vehicle 6 - 2000 Isuzu straight truck  The driver of the 2000 Isuzu straight truck, a 24-year old male, was traveling east on a 2-lane roadway divided by a concrete median barrier (4 lanes total) in the first lane of travel. He was followed by a 1995 Dodg	4	3	22.769
329005982	1	Vehicle 1, a four door 2001 BMW 325i, was northbound on a straight, level, two lane, undivided roadway. Vehicle 2, a 2003 Peterbilt tractor, towing a 1999 American Trailers dump trailer, fully loaded with sand was northbound on this same roadway.  Driver	4	3	34.364
329005982	2	Vehicle 1, a four door 2001 BMW 325i, was northbound on a straight, level, two lane, undivided roadway. Vehicle 2, a 2003 Peterbilt tractor, towing a 1999 American Trailers dump trailer, fully loaded with sand was northbound on this same roadway.  Driver	4	3	34.364
329006004	1	Vehicle 1 - 2002 Nissan Sentra 4-door sedan   The driver of the 2003 Nissan Sentra 4-door sedan, a 30-year old male, was traveling north on a 2-lane undivided roadway approaching a 4-way intersection with another undivided roadway. As he neared the inters	4	3	53.409
329006004	2	Vehicle 2 - 1993 Buick Century 4-door sedan  The driver of the 1993 Buick Century 4-door sedan, a 20-year old female, was traveling south on a 2-lane undivided roadway that became 3-lanes as it incorporated a left turn-only lane at a 4-way intersection. A	4	3	53.409
329006004	3	Vehicle 3 - 1998 Freightliner straight dump truck  The driver of the empty 1998 Freightliner straight dump truck, a 26-year old male, was traveling west on a 3-lane undivided roadway (2 lanes westbound and 1 lane eastbound) in the first lane of travel. As	4	3	53.409
329006005	1	Vehicle #1, 1992 Ford Econoline E150 cargo van   Vehicle #1, a 1992 Ford Econoline E150 cargo van, was westbound on a two lane undivided straight, level, wet asphalt principal arterial-other state roadway with a 4.3 m (14.1') paved right shoulder and a 0.	4	3	34.364
329006005	2	Vehicle #2, 1981 Peterbilt straight truck   The 72 year old male driver, who was 175 cm (69") tall and weighed 104 kg (229 lb.), was driving a 1981 Peterbilt 3 axle "roll off" straight truck, with no cargo container on the rails, of which he was the owner	4	3	34.364
329006024	1	Vehicle #1, 1998 Toyota Camry  Vehicle #1, a 1998 Toyota Camry, was traveling east on a level, straight, undivided three lane dry asphalt roadway that had 2 westbound lanes and one eastbound.  Solid white road edge lines on both sides of the roadway as we	4	3	34.364
329006024	2	Vehicle #2, 1995 International straight tank truck  The 32 year old male driver, who was 183 cm (72") tall and weighed 91 kg (201 lb.), was driving a 1995 International straight tank truck which was loaded with 7041 L (1860 gals) of fuel oil.  The vehicle	4	3	34.364
329006101	1	Vehicle 1 was a 2000 Sterling tractor pulling a 1998 Great Dane refrigerated semi-trailer on two lane north/south undivided rural road with a posted speed of 40mph.  The weather was clear, the roadway dry and it was daylight at the time of the crash. A on	4	3	34.364
329006242	1	Vehicle 1, a 1989 Honda Accord, was traveling east on a two lane undivided roadway with shoulders and a slight right curve.  The weather was clear, the roadway was dry and it was daylight at the time of crash.  Vehicle 2, a 2000 KIA Sportage, was also tra	4	3	22.769
329006242	2	Vehicle 1, a 1989 Honda Accord, was traveling east on a two lane undivided roadway with shoulders and a slight right curve.  The weather was clear, the roadway was dry and it was daylight at the time of crash.  Vehicle 2, a 2000 KIA Sportage, was also tra	4	3	22.769
329006242	3	Vehicle 1, a 1989 Honda Accord, was traveling east on a two lane undivided roadway with shoulders and a slight right curve.  The weather was clear, the roadway was dry and it was daylight at the time of crash.  Vehicle 2, a 2000 KIA Sportage, was also tra	4	3	22.769
329006341	1	Vehicle 1, a 1999 Kenworth dump truck, was southbound on a two lane, straight and level, undivided roadway.  The vehicle was fully loaded with gravel and had a registered gross vehicle weight of 73,280 pounds.  Vehicle 1 approached an intersection that wa	4	3	34.364
329006401	1	Vehicle 1, a 1999 Toyota Camry, was stopped at an intersection at a traffic light in a "left turn only" lane, the second vehicle in line behind a unidentified/uninvolved passenger car.  Vehicle 1 was facing northbound on the four lane undivided roadway. D	4	3	34.364
329006401	2	Vehicle 1, a 1999 Toyota Camry, was stopped at an intersection at a traffic light in a "left turn only" lane, the second vehicle in line behind a unidentified/uninvolved passenger car.  Vehicle 1 was facing northbound on the four lane undivided roadway. D	4	3	34.364
329006424	1	Vehicle #1, a 1990 Volvo 760, was southbound on a two lane undivided roadway approaching a tee intersection controlled by a stop sign. Vehicle #2, a 2003 Sterling 35 foot straight truck, was westbound on an undivided roadway that had one eastbound lane an	4	3	34.364
329006424	2	Vehicle #1, a 1990 Volvo 760, was southbound on a two lane undivided roadway approaching a tee intersection controlled by a stop sign. Vehicle #2, a 2003 Sterling 35 foot straight truck, was westbound on an undivided roadway that had one eastbound lane an	4	3	34.364
329006526	1	Vehicle #1, 1993 Toyota Camry  Vehicle #1, a 1993 Toyota Camry, was traveling north on a level, straight, undivided two-lane dry asphalt roadway with a posted speed limit of 80 kmph (50 mph).  Solid white road edge lines on both sides of the roadway as we	4	3	53.409
329006526	2	Vehicle #2- 1990 Mack three-axle straight dump truck  Vehicle #2, a 1990 Mack three-axle straight dump truck, was traveling west on a rural local level, straight, undivided two-lane dry asphalt roadway with a posted speed limit of 80 kmph (50 mph).  Solid	4	3	53.409
329006566	1	Vehicle 1 was a 1995 Plymouth Voyager that was traveling southbound in the right lane of a four lane undivided roadway. Vehicle 2, a 1995 International tractor pulling a 28 foot van semi-trailer, was northbound in the right lane on the same four lane undi	4	3	0
329006566	2	Vehicle 1 was a 1995 Plymouth Voyager that was traveling southbound in the right lane of a four lane undivided roadway. Vehicle 2, a 1995 International tractor pulling a 28 foot van semi-trailer, was northbound in the right lane on the same four lane undi	4	3	0
329006606	1	Vehicle 1, a 2001 Hyundai Elantra, was stopped on the shoulder of a two lane undivided roadway, facing north.  The roadway was dry, level, and had a 1.9 meter paved shoulder. The speed limit in the vicinity of the crash site was 50 mph (80 kmph). Driver 1	4	3	34.364
329006606	2	Vehicle 1, a 2001 Hyundai Elantra, was stopped on the shoulder of a two lane undivided roadway, facing north.  The roadway was dry, level, and had a 1.9 meter paved shoulder. The speed limit in the vicinity of the crash site was 50 mph (80 kmph). Driver 1	4	3	34.364
331005648	1	Vehicle 1 - 2001 Ford Focus 4-door sedan  The driver of the 2001 Ford Focus 4-door sedan, a 53-year old male, was traveling west on a 3-lane roadway divided by a guardrail (6 lanes total) in the third (far left) lane of travel. It was the early (predawn)	6	1	19.812
331005648	2	Vehicle 2 - 1998 Freightliner tractor pulling one closed van semi-trailer towing one converter A-dolly  The driver of the 1998 Freightliner tractor pulling one closed van semi-trailer towing one converter A-dolly, a 28-year old male, was traveling west on	6	1	19.812
331005767	1	Vehicle #1, 2002 Honda Accord  Vehicle #1, 2002 Honda Accord, was stopped eastbound for a red traffic light in the left designated left turn lane with a north/south-intersecting roadway.  The divided roadway was level, straight, with a dry asphalt surface	6	1	19.812
331005767	2	Vehicle #2, 1995 Ford Explorer  Vehicle #2, 1995 Ford Explorer, was stopped eastbound for a red traffic light in the left designated turn lane, adjacent to Vehicle #1.  The divided roadway was level, straight, with a dry asphalt surface with solid white l	6	1	19.812
331005767	3	Vehicle #3, 2001 Land Rover Discover   Vehicle #3, 2001 Land Rover Discover, was decelerating eastbound for a red traffic light in the designated left turn lane behind Vehicle #1 (2002 Honda Accord).  The divided roadway was level, straight, with a dry as	6	1	19.812
331005767	4	Vehicle #4, 1988 Volvo Straight Garbage Truck  The 36 year old male driver, who was 168 cm (66") tall and weighed 73 kg (161 lb.), was driving a 1988 Volvo cab behind engine (low entry) straight garbage truck (Vehicle #4) which was fully loaded with resid	6	1	19.812
331005867	1	Vehicle 1 was a 2000 Freightliner tractor with a 1984 Loadcraft 45' intermodal semi-trailer.  Vehicle 1 was southbound on a six-lane interstate with three lanes in each direction when it exited onto a two-lane westward exit ramp.  The speed limit on the r	6	1	29.901
331005868	1	Vehicle 1 - 1994 Ford flatbed straight truck  The driver of the empty 1994 Ford flatbed straight truck, a 23-year old male, was traveling north on a 3-lane interstate divided by a guardrail (6 lanes total) in the first lane of travel. Ahead of the Ford an	6	1	29.901
331005868	2	Vehicle 2 - 2000 Mack closed van straight truck  The driver of the 2000 Mack closed van straight truck, a 53-year old male, was traveling north on a 3-lane interstate divided by a guardrail (6 lanes total) in an unknown lane of travel when he began experi	6	1	29.901
331006007	1	Vehicle #1, 1994 Toyota Camry  A 1994 Toyota Camry (Vehicle #1) was traveling eastbound in the right lane of a four lane divided interstate (2 lanes eastbound/2 lanes westbound) on a dry concrete bridge deck spanning a wide river.  A solid yellow median r	6	1	46.473
331006007	2	Vehicle #2, 2000 Peterbilt 4-axle straight dump truck  The 42-year-old male driver, who was 178 cm (70") tall and weighed 91 kg (201 lb.), was driving a 2000 Peterbilt 4-axle straight dump truck which was fully loaded with gravel and en route to making a	6	1	46.473
331006008	1	Vehicle #1, 2000 Harley Davidson motorcycle   The 56-year-old male motorcyclist who was 168 cm (66") tall and weighed 78 kg (172 lb.) was driving a 2000 Harley Davidson motorcycle (Vehicle #1) southbound on a two lane undivided level, dry, minor arterial	6	1	19.812
331006008	2	Vehicle #2, 2000 Navistar International refrigerated van straight truck   The 28-year-old male, who was 160 cm (63") tall and weighed 70 kg (154 lb.) was driving a 2000 Navistar International refrigerated straight truck (Vehicle #2) which was loaded with	6	1	19.812
331006127	1	Vehicle 1 - 1998 Kenworth straight dump truck  The driver of the 1998 Kenworth straight dump truck, a 34-year old male, was traveling west on a 2-lane undivided city roadway approaching a signalized 4-way intersection. The truck was empty, and the driver	6	1	19.812
331006249	1	Vehicle 1 - 2003 Freightliner tractor pulling one refrigerated van semi-trailer  The driver of the 2003 Freightliner tractor pulling one refrigerated van semi-trailer, a 54-year old male, was traveling east on a 3-lane interstate divided by a concrete med	6	1	46.473
331006250	1	Vehicle #1, 1993 Mack tractor pulling a 1999 Lamborghini open top van semi trailer  Vehicle #1, a 1993 Mack tractor pulling a 1999 Lamborghini fully loaded open top van semi trailer was attempting to make a left turn at a four-leg intersection controlled	6	1	29.901
331006253	1	Vehicle 1 - 1998 Volvo V70 station wagon  The driver of the 1998 Volvo V70 station wagon, a 43-year old male, was traveling west on a 3-lane interstate divided by a concrete median barrier (6 lanes total) in the first lane of travel. As the roadway began	6	1	29.901
331006253	2	Vehicle 2 - 2000 Volvo tractor pulling one trailer frame loaded with an intermodal container  The driver of the 2000 Volvo tractor pulling one trailer frame loaded with an intermodal container, a 23-year old male, was traveling west on a 3-lane interstate	6	1	29.901
331006312	1	Vehicle 1, a 1999 International tractor and semi-trailer bed with a fully loaded intermodal container on top, was traveling Eastbound in lane one of a six lane interstate highway (three eastbound and three westbound travel lanes). Vehicle 1 impacted the c	6	1	19.812
331006314	1	Vehicle 1, a 1998 Volvo tractor hauling a van semi-trailer loaded with 40,000 pounds of general freight, was traveling southbound on a twelve-lane highway. The northbound and southbound lanes are divided into two three-lane non-positive barrier roadways w	6	1	19.812
331006352	1	Vehicle 2 was a 2003 Freightliner tractor hauling a 53' van semi trailer fully loaded with 42,000 pounds of paper products. Vehicle 2 was traveling northbound on a twelve lane state highway.  The northbound and southbound lanes are divided into two three-	6	1	46.473
331006352	2	Vehicle 2 was a 2003 Freightliner tractor hauling a 53' van semi trailer fully loaded with 42,000 pounds of paper products. Vehicle 2 was traveling northbound on a twelve lane state highway.  The northbound and southbound lanes are divided into two three-	6	1	46.473
332006056	1	Vehicle 1 was a 2002 Freightliner FL 60 straight box truck with one occupant. The vehicle had an automatic transmission. The vehicle was loaded with one 3200-pound electric motor. Due to vehicle damage it could not be determined if the cargo was properly	8	2	206.963
332006211	1	Vehicle 1 was a 2002 Freightliner Columbia tractor pulling one 16.2m long van semi-trailer. The trailer was fully loaded with 21,902kg of bottled soft drinks. The bottles were secured in cartons that were stacked on pallets. The pallets were not blocked/b	8	2	206.963
332006431	1	Vehicle 1 was an empty 1987 Mack RD 600 series dump truck towing a 9.4m flatbed trailer loaded with a Lee Boy model 8500 asphalt paving machine and an Ingersol Rand model DD 22 asphalt compactor. The paving machine weighed approximately 4,080 kg and was f	8	2	0
332006531	1	Vehicle 1, a 1999 Mack CL713 straight dump truck, was traveling east in the left of two eastbound lanes on a straight and level section of a four-lane roadway. A witness estimated Vehicle 1's travel speed to be approximately 35 mph (56 kmph). The posted s	8	2	137.133
332006696	1	Vehicle 1 was a 1996 Peterbilt model 379 tractor pulling a flatbed semi-trailer loaded with steel coils. The driver was the only occupant of the vehicle. The vehicle was traveling east as it exited a three-lane highway onto a two-lane exit ramp. The concr	8	2	206.963
332006697	1	Vehicle 1 - 1996 Kenworth tractor pulling one flatbed semi-trailer  The driver of the 1996 Kenworth tractor pulling one flatbed semi-trailer, a 51-year old male, was traveling south on a 2-lane interstate divided by a concrete median barrier (4 lanes tota	8	2	137.133
332006751	1	Vehicle 1 was a 2003 Freightliner FLD tractor towing a refrigerated van semi-trailer 80 percent full of coffee creamer bottles. Driver 1 was the lone occupant of this vehicle.  Vehicle 1 was traveling south in the right lane of two southbound lanes on a d	8	2	206.963
333006234	1	Vehicle 1 was a four axle 1999 Sterling dump truck carrying a load of dirt.  Vehicle 2 was a two axle 2001 Mack tractor hauling a two-axle van semi-trailer loaded with various materials including some chemicals with an inhalation hazard.    The crash occu	9	8	216.96
333006234	2	Vehicle 1 was a four axle 1999 Sterling dump truck carrying a load of dirt.  Vehicle 2 was a two axle 2001 Mack tractor hauling a two-axle van semi-trailer loaded with various materials including some chemicals with an inhalation hazard.    The crash occu	9	8	216.96
333006294	1	Case 09-008-03 Vehicle 1- 1996 Volvo with semi-trailer CEAF PG 14     	 Vehicle 1 was a 1996 Volvo WG tractor towing a 1987 Hercules-Ajax semi-trailer frame loaded with a shipping crate.  Vehicle 1 was traveling southbound in lane 1 of a 5-lane, single-di	9	8	468.821
333006374	1	Vehicle 1 - 2000 Mack tractor pulling one refrigerated van semi-trailer  The driver of the 2000 Mack tractor pulling one empty refrigerated van semi-trailer, a 48-year old male, was traveling north on a 4-lane interstate divided by a grass median and guar	9	8	756.035
333006374	2	Vehicle 2 - 1998 Freightliner tractor pulling one semi-trailer with a refrigerated intermodal container       The driver of the 1998 Freightliner tractor pulling one semi-trailer with a refrigerated intermodal container, a 48-year old male, was traveling	9	8	756.035
333006454	1	.  Vehicle 1 was a 1988 Ford LTD Crown Victoria with 3 occupants.  Vehicle two was a 1993 Freightliner FLD-120 Long Conventional tractor that was towing an empty refuse hauler semi-trailer.  The driver was the sole occupant of Vehicle 2.   Vehicle 1 was t	9	8	756.035
333006454	2	Vehicle 1 was a 1988 Ford LTD Crown Victoria with 3 occupants.  Vehicle two was a 1993 Freightliner FLD-120 Long Conventional tractor that was towing an empty refuse hauler semi-trailer.  The driver was the sole occupant of Vehicle 2.   Vehicle 1 was trav	9	8	756.035
333006634	1	Vehicle 1 was a 1995 Mazda MX-3 coupe driven by a 24-year-old male.  Vehicle 2 was a 1998 Peterbilt 379 tractor towing an empty 1998 Wabash refrigerated trailer.  Vehicle 2 was driven by a 21-year-old male.    Vehicle 2 was traveling south on a 55-mph (89	9	8	0
333006634	2	Vehicle 1 was a 1995 Mazda MX-3 coupe driven by a 24-year-old male.  Vehicle 2 was a 1998 Peterbilt 379 tractor towing an empty 1998 Wabash refrigerated trailer.  Vehicle 2 was driven by a 21-year-old male.    Vehicle 2 was traveling south on a 55-mph (89	9	8	0
333006714	1	Vehicle 1 was a 2001 Saturn SC1 3-door coupe operated by an 18-year old female driver.  Vehicle 2 was a 1999 Isuzu Rodeo operated by a 41-year old female driver. This vehicle had two child passengers. Vehicle 3 was a 2000 Freightliner tractor towing a Tra	9	8	756.035
333006714	2	Vehicle 1 was a 2001 Saturn SC1 3-door coupe operated by an 18-year old female driver.  Vehicle 2 was a 1999 Isuzu Rodeo operated by a 41-year old female driver. This vehicle had two child passengers. Vehicle 3 was a 2000 Freightliner tractor towing a Tra	9	8	756.035
333006714	3	Vehicle 1 was a 2001 Saturn SC1 3-door coupe operated by an 18-year old female driver.  Vehicle 2 was a 1999 Isuzu Rodeo operated by a 41-year old female driver. This vehicle had two child passengers. Vehicle 3 was a 2000 Freightliner tractor towing a Tra	9	8	756.035
333006859	1	Vehicle 1 was a 1997 Nissan Altima driven by a 26-year-old male.  Vehicle 2 was a 1999 International 9100 series 3-axle tractor towing an empty '93 Trailmobile refrigerated van semi-trailer.  Vehicle 2 was driven by a 53-year-old male.  Vehicle 1, Vehicle	9	8	0
333006859	2	Vehicle 1 was a 1997 Nissan Altima driven by a 26-year-old male.  Vehicle 2 was a 1999 International 9100 series 3-axle tractor towing an empty '93 Trailmobile refrigerated van semi-trailer.  Vehicle 2 was driven by a 53-year-old male.  Vehicle 1, Vehicle	9	8	0
333006958	1	Vehicle 1 was a 1988 Mack R686ST tractor towing an empty 1980 Dorsey dump trailer.  The driver of Vehicle 1 was a 33-year-old male accompanied by a 17-year-old female passenger in the right front seat.  Vehicle 1 was traveling east in the first lane of a	9	8	756.035
333006978	1	Vehicle 1 was a 1997 Kenworth T800 tractor hauling a 2003 XL Specialized lowboy three-axle semi-trailer.  The trailer was loaded with a large "refrigeration house" that reportedly weighed 26,000 pounds.  Vehicle1 was driven by a 35 year-old male.    Vehic	9	8	468.821
333006978	2	Vehicle 1 was a 1997 Kenworth T800 tractor hauling a 2003 XL Specialized lowboy three-axle semi-trailer.  The trailer was loaded with a large "refrigeration house" that reportedly weighed 26,000 pounds.  Vehicle1 was driven by a 35 year-old male.    Vehic	9	8	468.821
333007018	1	Vehicle 1 - 1990 Lincoln Continental 4-door sedan  The driver of the 1990 Lincoln Continental 4-door sedan, a 28-year old male, was traveling north on a 4-lane highway divided by a guardrail and grass median (7 lanes total) in the third lane of travel. As	9	8	216.96
333007018	2	Vehicle 2 - 1990 Nissan Pathfinder Sport Utility Vehicle  The driver of the 1990 Nissan Pathfinder Sport Utility Vehicle, a 51-year old male, was traveling south on a 4-lane highway divided by a guardrail and grass median (7 lanes total) in the third lane	9	8	216.96
333007018	3	Vehicle 3 - 1995 International refrigerated van straight truck  The driver of the 1995 International refrigerated straight truck, a 30-year old male, was traveling south on a 4-lane highway divided by a guardrail and grass median (7 lanes total) in the se	9	8	216.96
335006545	1	Vehicle 1 was a 1999 Volvo conventional tractor that was towing a 1996 53ft Wabash van trailer. This vehicle was negotiating an exit/entrance ramp to the right, up hill, to merge onto an interstate roadway.  At the end of the curved exit/entrance ramp the	11	6	125.127
335006546	1	Vehicle 1, a 2003 Volvo conventional semi tractor pulling a 53ft semi Stoughton van trailer, was westbound in lane 1 of 3 westbound lanes of a 6 lane interstate roadway.  The westbound lanes were separated from the eastbound lanes by 2-3.2 meter wide shou	11	6	125.127
335006565	1	Vehicle 1, a 2003 International straight truck with a reefer body and a GVWR of 25,999lbs, was eastbound in the middle lane of three eastbound lanes of a six lane, bituminous, interstate roadway with a positive barrier.  The driver of Vehicle 1 lost direc	11	6	68.691
335006827	1	Vehicle 1, a 2002 Pontiac Grand Am, 4 door sedan, was westbound on a two lane, two- way, bituminous, major rural connector roadway that curved to the right.  Vehicle 2, a 2003 Sterling/Freightliner conventional medium/heavy tractor towing a Benlee, 16m lo	11	6	68.691
335006827	2	Vehicle 1, a 2002 Pontiac Grand Am, 4 door sedan, was westbound on a two lane, two- way, bituminous, major rural connector roadway that curved to the right.  Vehicle 2, a 2003 Sterling/Freightliner conventional medium/heavy tractor towing a Benlee, 16m lo	11	6	68.691
335006828	1	Vehicle 1, a 1999 Chevrolet Astro minivan, was turning left, (west), at a T-intersection controlled by a stop sign.  Vehicle 2, a 1986 GMC 12,000 lb dump truck, was traveling eastbound on the two lane (with right turn lane), bituminous, 2-way roadway that	11	6	21.198
