CaseID	VehicleNumber	PreEventMovement	ACRCriticalEvent	CriticalEventCat	ACRReason	ReasonCat	ACRAvoidance	ACRStability	ACRLocation	ACRRightOfWay	CrashCode	AccidentCat	ACRJackknife	ACRCargoshift	PSU	PSUStrata	RATWeight
331005767	4	6	16	2	128	3	3	2	4	88	7	7	0	0	6	1	19.812
331005867	1	1	6	1	113	2	3	2	4	88	7	7	0	0	6	1	29.901
331005868	1	1	11	2	119	2	99	9	2	88	20	2	0	0	6	1	29.901
331005868	2	98	60	4	0	0	1	1	1	88	21	2	0	0	6	1	29.901
331006007	1	2	53	3	0	0	1	1	1	88	29	2	0	0	6	1	46.473
331006007	2	1	52	3	100	1	3	1	1	88	28	2	0	0	6	1	46.473
331006008	1	1	62	4	0	0	99	1	1	1	69	4	0	0	6	1	19.812
331006008	2	1	15	2	111	2	1	1	1	2	68	4	0	0	6	1	19.812
331006127	1	5	80	5	113	2	1	1	1	1	13	11	0	0	6	1	19.812
331006249	1	1	13	2	101	1	1	1	4	88	1	1	0	0	6	1	46.473
331006250	1	1	15	2	125	3	3	2	4	88	2	1	0	0	6	1	29.901
331006253	1	14	90	6	0	0	1	1	1	88	98	13	0	0	6	1	29.901
331006253	2	14	98	7	138	3	1	1	1	88	0	13	0	1	6	1	29.901
331006312	1	14	13	2	199	4	1	1	4	88	1	1	0	0	6	1	19.812
331006314	1	1	80	5	113	2	3	2	1	99	13	11	0	0	6	1	19.812
331006352	1	1	17	2	128	3	1	1	1	2	89	5	0	0	6	1	46.473
331006352	2	1	66	4	0	0	3	2	1	1	88	5	0	0	6	1	46.473
332006056	1	3	98	7	110	2	1	1	2	2	98	13	0	0	8	2	206.963
332006211	1	14	100	1	120	3	9	1	4	88	1	1	0	1	8	2	206.963
332006431	1	11	100	1	203	5	1	1	1	1	0	13	0	1	8	2	0
332006531	1	1	80	5	0	0	2	1	1	1	13	11	0	0	8	2	137.133
332006696	1	14	6	1	128	3	7	1	2	88	98	13	0	0	8	2	206.963
332006697	1	14	6	1	140	3	3	8	4	88	2	1	0	0	8	2	137.133
332006751	1	14	13	2	110	2	6	1	4	88	1	1	0	0	8	2	206.963
333006234	1	1	17	2	125	3	1	1	1	2	69	4	0	0	9	8	216.96
333006234	2	5	15	2	0	0	1	1	2	1	68	4	0	0	9	8	216.96
333006294	1	2	12	2	120	3	2	1	4	88	6	7	0	0	9	8	468.821
333006374	1	0	53	3	0	0	0	0	0	88	21	2	0	0	9	8	756.035
333006374	2	1	50	3	119	2	99	9	1	88	20	2	0	0	9	8	756.035
333006454	1	15	10	2	122	3	1	1	2	2	47	12	0	0	9	8	756.035
333006454	2	1	61	4	0	0	1	1	1	1	45	12	0	0	9	8	756.035
333006634	1	1	11	2	199	4	1	1	4	2	20	2	0	0	9	8	0
333006634	2	98	61	4	0	0	1	1	5	1	21	2	0	0	9	8	0
333006714	1	14	5	1	120	3	3	2	2	2	64	6	0	0	9	8	756.035
333006714	2	14	62	4	0	0	8	1	1	1	65	6	0	0	9	8	756.035
333006714	3	14	125	9	0	0	1	1	1	1	98	13	0	0	9	8	756.035
333006859	1	1	8	1	518	6	8	3	4	2	98	13	0	0	9	8	0
333006859	2	98	61	4	0	0	1	1	1	1	98	13	0	0	9	8	0
333006958	1	1	13	2	110	2	98	2	4	88	2	1	1	0	9	8	756.035
333006978	1	1	52	3	120	3	8	2	2	88	28	2	0	0	9	8	468.821
333006978	2	17	53	3	0	0	1	1	1	88	29	2	0	0	9	8	468.821
333007018	1	1	9	1	199	4	99	2	4	88	7	7	0	0	9	8	216.96
333007018	2	1	125	9	0	0	99	9	1	1	98	13	0	0	9	8	216.96
333007018	3	1	125	9	0	0	10	1	1	1	98	13	0	0	9	8	216.96
335006545	1	14	100	1	120	3	6	8	2	88	98	13	0	1	11	6	125.127
335006546	1	15	12	2	100	1	1	1	4	88	6	7	0	0	11	6	125.127
335006565	1	1	3	1	202	5	1	3	2	88	98	13	0	0	11	6	68.691
335006827	1	14	72	4	110	2	9	1	1	1	83	10	0	0	11	6	68.691
335006827	2	5	15	2	0	0	1	1	1	2	82	10	0	0	11	6	68.691
335006828	1	2	15	2	113	2	1	1	2	2	82	10	0	0	11	6	21.198
335006828	2	14	67	4	0	0	8	1	2	1	83	10	0	0	11	6	21.198
335006865	1	5	17	2	113	2	2	1	1	2	89	5	0	0	11	6	21.198
335006865	2	1	66	4	0	0	2	1	1	1	88	5	0	0	11	6	21.198
335006931	1	14	13	2	120	3	8	2	4	88	2	1	0	0	11	6	68.691
335007048	1	14	10	2	999	99	1	1	2	2	47	12	0	0	11	6	21.198
335007048	2	15	61	4	0	0	6	1	2	1	45	12	0	0	11	6	21.198
335007108	1	1	14	2	110	2	8	1	4	88	14	11	0	0	11	6	125.127
335007109	1	5	125	9	0	0	1	1	1	2	98	13	0	0	11	6	125.127
335007109	2	16	53	3	121	3	1	1	2	88	29	2	0	0	11	6	125.127
335007109	3	1	52	3	0	0	8	1	1	88	28	2	0	0	11	6	125.127
335007154	1	1	98	7	119	2	1	1	1	88	24	2	0	0	11	6	21.198
335007154	2	3	53	3	0	0	1	1	1	88	25	2	0	0	11	6	21.198
335007248	1	14	12	2	509	6	9	2	4	88	7	7	0	0	11	6	125.127
336006304	1	1	50	3	119	2	1	1	1	88	20	2	0	0	13	6	41.321
336006304	2	5	53	3	0	0	1	1	1	88	22	2	0	0	13	6	41.321
336006328	1	1	71	4	0	0	2	1	1	1	88	5	0	0	13	6	243.914
336006328	2	5	17	2	113	2	1	1	1	2	89	5	0	0	13	6	243.914
336006368	1	1	66	4	0	0	1	1	1	1	87	5	0	0	13	6	243.914
336006368	2	1	17	2	111	2	1	1	1	2	86	5	0	0	13	6	243.914
337006085	1	5	83	5	113	2	1	1	1	2	13	11	0	0	41	7	111.86
337006162	1	5	61	4	0	0	2	1	2	1	74	4	0	0	41	7	111.86
337006162	2	5	98	7	125	3	1	1	2	2	74	4	0	0	41	7	111.86
337006282	1	15	8	1	142	4	8	4	2	2	47	12	0	0	41	7	111.86
337006282	2	1	52	3	0	0	98	2	2	1	45	12	0	0	41	7	111.86
337006322	1	1	52	3	110	2	99	9	1	88	28	2	0	0	41	7	69.365
337006322	2	2	53	3	0	0	1	1	1	88	29	2	0	0	41	7	69.365
337006323	1	1	13	2	100	1	1	1	4	88	1	1	0	0	41	7	69.365
337006522	1	1	9	1	199	4	99	3	2	88	32	2	0	0	41	7	32.101
337006522	2	5	53	3	0	0	1	1	1	88	32	2	0	0	41	7	32.101
337006545	1	5	125	9	0	0	1	1	1	88	98	13	0	0	41	7	32.101
337006545	2	5	125	9	0	0	1	1	1	88	98	13	0	0	41	7	32.101
337006545	3	5	125	9	0	0	1	1	1	88	98	13	0	0	41	7	32.101
337006545	4	5	53	3	0	0	1	1	1	88	21	2	0	0	41	7	32.101
337006545	5	1	50	3	999	99	1	1	1	88	20	2	0	0	41	7	32.101
337006565	1	5	53	3	0	0	11	1	2	1	98	13	0	0	41	7	69.365
337006565	2	1	52	3	123	3	98	2	2	2	98	13	0	0	41	7	69.365
337006642	1	1	62	4	124	3	3	2	1	1	69	4	0	0	41	7	111.86
337006642	2	5	15	2	0	0	1	1	2	2	68	4	0	0	41	7	111.86
337006662	1	1	90	6	143	4	8	1	4	88	6	7	0	0	41	7	0
338007208	1	14	1	1	200	5	99	4	4	2	66	6	0	0	43	9	59.006
338007208	2	14	62	4	0	0	99	1	1	1	66	6	0	0	43	9	59.006
338007208	3	14	125	9	0	0	99	1	1	2	98	13	0	0	43	9	59.006
338007208	4	14	125	9	0	0	3	2	1	1	98	13	0	0	43	9	59.006
338007286	1	5	63	4	0	0	1	1	1	1	65	6	0	0	43	9	127.503
338007286	2	5	125	9	0	0	1	1	1	1	98	13	0	0	43	9	127.503
338007286	3	5	125	9	0	0	1	1	1	1	98	13	0	0	43	9	127.503
338007286	4	5	125	9	0	0	1	1	1	88	98	13	0	0	43	9	127.503
338007286	5	5	125	9	0	0	1	1	1	88	98	13	0	0	43	9	127.503
338007286	6	1	10	2	540	5	8	1	2	2	64	6	0	0	43	9	127.503
338007402	1	2	15	2	122	3	11	1	2	2	68	4	0	0	43	9	59.006
338007402	2	1	62	4	0	0	3	2	1	1	69	4	0	0	43	9	59.006
338007442	1	1	13	2	101	1	1	1	4	88	1	1	0	0	43	9	0
338007508	1	1	125	9	0	0	8	2	1	88	98	13	0	0	43	9	127.503
338007508	2	1	6	1	110	2	9	2	6	88	7	7	0	0	43	9	127.503
338007582	1	14	6	1	140	3	2	1	1	88	98	13	0	0	43	9	127.503
339006191	1	6	61	4	0	0	2	1	1	1	45	12	0	0	45	8	131.148
339006191	2	15	10	2	113	2	1	1	2	2	47	12	0	0	45	8	131.148
339006251	1	17	10	2	142	4	6	1	2	88	32	2	0	0	45	8	131.148
339006251	2	3	61	4	0	0	1	1	1	88	32	2	0	0	45	8	131.148
339006276	1	14	6	1	140	3	3	8	4	88	7	7	0	0	45	8	131.148
339006316	1	14	6	1	140	3	2	8	2	88	98	13	0	0	45	8	131.148
339006351	1	1	50	3	110	2	3	2	1	88	20	2	0	0	45	8	211.494
339006351	2	2	53	3	0	0	1	1	1	88	21	2	0	0	45	8	211.494
339006411	1	2	61	4	0	0	2	1	1	1	45	12	0	0	45	8	211.494
339006411	2	1	7	1	110	2	3	3	2	2	47	12	1	0	45	8	211.494
339006431	1	1	61	4	0	0	1	1	1	1	45	12	0	0	45	8	131.148
339006431	2	1	10	2	113	2	7	1	2	2	47	12	0	0	45	8	131.148
339006451	1	14	7	1	120	3	8	2	1	88	98	13	1	0	45	8	131.148
339006491	1	1	10	2	101	1	1	1	2	2	50	3	0	0	45	8	60.692
339006491	2	1	62	4	0	0	3	2	1	1	51	3	0	0	45	8	60.692
339006551	1	1	52	3	111	2	98	8	4	88	2	1	0	0	45	8	211.494
339006731	1	1	80	5	0	0	1	1	1	1	13	11	0	0	45	8	211.494
339006771	1	14	100	1	120	3	8	8	2	88	98	13	0	1	45	8	211.494
339006811	1	1	62	4	0	0	9	1	1	1	51	3	0	0	45	8	131.148
339006811	2	17	10	2	120	3	8	1	2	2	50	3	0	0	45	8	131.148
339006875	1	1	13	2	119	2	1	1	4	88	1	1	0	0	45	8	211.494
339006875	2	1	125	9	0	0	3	2	1	88	98	13	0	0	45	8	211.494
339006876	1	1	51	3	122	3	1	1	2	88	24	2	0	0	45	8	131.148
339006876	2	1	53	3	0	0	1	1	1	88	25	2	0	0	45	8	131.148
339006915	1	1	50	3	123	3	2	1	1	88	20	2	0	0	45	8	211.494
339006915	2	5	53	3	0	0	1	1	1	88	21	2	0	0	45	8	211.494
339006915	3	2	125	9	0	0	3	2	1	88	98	13	0	0	45	8	211.494
339006915	4	1	125	9	0	0	3	2	1	88	98	13	0	0	45	8	211.494
339006915	5	2	125	9	0	0	2	1	1	88	98	13	0	0	45	8	211.494
339006915	6	5	125	9	0	0	2	1	1	88	98	13	0	0	45	8	211.494
339006915	7	5	125	9	0	0	2	1	1	88	98	13	0	0	45	8	211.494
339006915	8	1	125	9	0	0	8	4	2	88	98	13	1	0	45	8	211.494
339006935	1	6	10	2	113	2	1	1	2	2	47	12	0	0	45	8	131.148
339006935	2	1	61	4	0	0	1	1	1	1	45	12	0	0	45	8	131.148
339006971	1	14	54	3	125	3	7	1	1	2	66	6	0	0	45	8	60.692
339006971	2	14	54	3	0	0	8	1	1	1	66	6	0	0	45	8	60.692
339007031	1	1	11	2	142	4	98	1	2	2	48	12	0	0	45	8	131.148
339007031	2	1	60	4	0	0	1	1	1	1	48	12	0	0	45	8	131.148
340006566	1	5	17	2	113	2	1	1	1	2	98	13	0	0	48	9	426.863
340006566	2	5	125	9	0	0	1	1	1	1	98	13	0	0	48	9	426.863
340006566	3	1	66	4	0	0	8	4	2	1	0	13	1	0	48	9	426.863
340006651	1	2	15	2	199	4	1	1	1	2	68	4	0	0	48	9	197.543
340006651	2	14	62	4	0	0	9	2	1	1	69	4	0	0	48	9	197.543
340006651	3	14	125	9	0	0	1	1	1	88	98	13	0	0	48	9	197.543
340006666	1	15	125	9	0	0	8	2	4	88	98	13	0	0	48	9	426.863
340006666	2	1	60	4	0	0	2	1	1	88	45	12	0	0	48	9	426.863
340006666	3	6	11	2	122	3	1	1	1	88	46	12	0	0	48	9	426.863
340006826	1	1	6	1	110	2	8	2	4	88	98	13	0	0	48	9	426.863
340006946	1	1	60	4	0	0	1	1	1	1	45	12	0	0	48	9	688.372
340006946	2	1	11	2	113	2	1	1	2	2	46	12	0	0	48	9	688.372
340007050	1	1	12	2	140	3	9	2	4	88	7	7	0	0	48	9	688.372
340007111	1	5	53	3	0	0	1	1	1	88	21	2	0	0	48	9	197.543
340007111	2	5	125	9	0	0	1	1	1	88	98	13	0	0	48	9	197.543
340007111	3	1	50	3	111	2	2	1	1	88	20	2	0	0	48	9	197.543
340007111	4	5	125	9	0	0	1	1	1	88	98	13	0	0	48	9	197.543
341000001	1	6	60	4	0	0	99	9	1	1	45	12	0	0	49	7	50.061
341000001	2	1	125	9	0	0	1	1	1	1	98	13	0	0	49	7	50.061
341000001	3	1	11	2	113	2	1	1	2	2	46	12	0	0	49	7	50.061
341000021	1	1	6	1	138	3	1	3	2	2	46	12	0	0	49	7	50.061
341000021	2	1	60	4	0	0	2	1	1	1	45	12	0	0	49	7	50.061
341006428	1	1	62	4	0	0	99	9	1	1	69	4	0	0	49	7	50.061
341006428	2	1	15	2	113	2	2	1	2	2	68	4	0	0	49	7	50.061
342006370	1	1	17	2	113	2	6	1	1	2	87	5	0	0	73	5	60.371
342006370	2	1	66	4	0	0	3	2	1	1	86	5	0	0	73	5	60.371
342006545	1	2	125	9	0	0	7	1	1	88	98	13	0	0	73	5	356.366
342006545	2	2	125	9	0	0	1	1	1	88	98	13	0	0	73	5	356.366
342006545	3	5	125	9	0	0	1	1	1	88	98	13	0	0	73	5	356.366
342006545	4	5	125	9	0	0	1	1	1	88	98	13	0	0	73	5	356.366
342006545	5	5	125	9	0	0	1	1	1	88	98	13	0	0	73	5	356.366
342006545	6	1	10	2	110	2	98	2	2	88	8	7	0	0	73	5	356.366
342006565	1	1	51	3	199	4	1	1	1	88	24	2	0	0	73	5	60.371
342006565	2	1	53	3	0	0	1	1	1	88	25	2	0	0	73	5	60.371
342006605	1	14	10	2	199	4	99	1	2	2	72	4	0	0	73	5	195.635
342006605	2	1	61	4	0	0	3	2	1	1	73	4	0	0	73	5	195.635
342006805	1	1	12	2	101	1	1	1	4	88	6	7	0	0	73	5	60.371
343007095	1	1	60	4	0	0	1	1	1	1	45	12	0	0	72	4	58.657
343007095	2	15	11	2	113	2	1	1	2	2	44	12	0	0	72	4	58.657
344006655	1	4	80	5	143	4	1	1	1	88	13	11	0	0	72	4	32.201
344006775	1	1	83	5	0	0	1	1	1	1	13	11	0	0	72	4	9.937
344006835	1	1	50	3	120	3	2	1	1	88	20	2	0	0	72	4	58.657
344006835	2	2	53	3	0	0	1	1	1	88	21	2	0	0	72	4	58.657
344006835	3	5	125	9	0	0	1	1	1	88	98	13	0	0	72	4	58.657
344006835	4	5	125	9	0	0	1	1	1	88	98	13	0	0	72	4	58.657
344006915	1	2	53	3	0	0	1	1	1	88	29	2	0	0	72	4	9.937
344006915	2	5	125	9	0	0	1	1	1	88	98	13	0	0	72	4	9.937
344006915	3	1	52	3	111	2	9	1	1	88	28	2	0	0	72	4	9.937
344006915	4	5	125	9	0	0	1	1	1	88	98	13	0	0	72	4	9.937
344006999	1	1	50	3	120	3	3	2	1	88	20	2	0	0	72	4	58.657
344006999	2	17	53	3	0	0	1	1	1	88	21	2	0	0	72	4	58.657
344007015	1	14	6	1	140	3	4	8	4	88	7	7	1	0	72	4	9.937
344007355	1	14	53	3	0	0	1	1	1	88	25	2	0	0	72	4	58.657
344007355	2	14	51	3	123	3	1	1	1	88	24	2	0	0	72	4	58.657
345006548	1	1	60	4	0	0	2	1	1	1	71	4	0	0	74	4	34.412
345006548	2	2	16	2	125	3	1	1	1	2	70	4	0	0	74	4	34.412
345006608	1	4	17	2	113	2	1	1	1	2	89	5	0	0	74	4	34.412
345006608	2	1	66	4	0	0	8	2	1	1	88	5	0	0	74	4	34.412
345006609	1	11	15	2	124	3	1	1	1	2	68	4	0	0	74	4	18.891
345006609	2	1	62	4	0	0	1	1	1	1	69	4	0	0	74	4	18.891
345006610	1	1	17	2	113	2	1	1	1	2	89	5	0	0	74	4	18.891
345006610	2	1	66	4	0	0	8	2	1	1	88	5	0	0	74	4	18.891
345006648	1	1	17	2	113	2	3	2	1	2	87	5	0	0	74	4	34.412
345006648	2	1	66	4	0	0	1	1	1	1	86	5	0	0	74	4	34.412
345006708	1	2	15	2	124	3	2	1	2	1	68	4	0	0	74	4	5.83
345006708	2	1	62	4	0	0	3	2	1	2	69	4	0	0	74	4	5.83
345006709	1	3	60	4	0	0	12	1	1	1	45	12	0	0	74	4	5.83
345006709	2	11	125	9	0	0	9	1	1	1	98	13	0	0	74	4	5.83
345006709	3	1	11	2	101	1	1	1	2	2	46	12	0	0	74	4	5.83
345006748	1	1	17	2	101	1	1	1	1	2	88	5	0	0	74	4	34.412
345006748	2	1	66	4	0	0	1	1	1	1	89	5	0	0	74	4	34.412
345006868	1	1	13	2	100	1	1	1	4	88	1	1	0	0	74	4	34.412
345006948	1	1	11	2	112	2	6	1	1	88	46	12	0	0	74	4	34.412
345006948	2	1	125	9	0	0	8	2	1	88	98	13	0	0	74	4	34.412
345006948	3	1	125	9	0	0	7	1	1	88	98	13	0	0	74	4	34.412
345006948	4	1	125	9	0	0	4	1	1	88	98	13	0	0	74	4	34.412
345006948	5	1	10	2	0	0	1	1	1	88	47	12	0	0	74	4	34.412
345007028	1	4	17	2	113	2	1	1	1	2	89	5	0	0	74	4	5.83
345007028	2	1	66	4	0	0	1	1	1	1	88	5	0	0	74	4	5.83
345007029	1	5	66	4	0	0	1	1	1	1	87	5	0	0	74	4	34.412
345007029	2	5	125	9	0	0	1	1	1	88	98	13	0	0	74	4	34.412
345007029	3	1	17	2	125	3	8	1	2	2	86	5	0	0	74	4	34.412
347006372	1	14	13	2	199	4	6	4	6	88	64	6	0	0	75	11	127.287
347006372	2	14	62	4	0	0	9	2	1	1	65	6	0	0	75	11	127.287
347006452	1	1	72	4	0	0	1	1	1	1	83	10	0	0	75	11	67.552
347006452	2	11	98	7	113	2	1	1	2	2	82	10	0	0	75	11	67.552
347006512	1	5	16	2	113	2	1	1	2	2	25	2	0	0	75	11	127.287
347006512	2	14	51	3	0	0	3	1	1	1	24	2	0	0	75	11	127.287
347006714	1	14	11	2	143	4	3	2	2	88	24	2	0	0	75	11	127.287
347006714	2	14	60	4	0	0	1	1	1	88	25	2	0	0	75	11	127.287
347006973	1	6	10	2	119	2	1	1	2	2	50	3	0	0	75	11	24.292
347006973	2	1	62	4	0	0	9	2	1	1	51	3	0	0	75	11	24.292
347006976	1	5	53	3	0	0	1	1	1	88	21	2	0	0	75	11	127.287
347006976	2	1	50	3	111	2	1	1	1	88	20	2	0	0	75	11	127.287
348006225	1	1	125	9	0	0	98	9	1	88	98	13	0	0	76	12	64.704
348006225	2	14	6	1	140	3	99	8	2	88	98	13	0	0	76	12	64.704
348006226	1	1	125	9	0	0	1	1	1	1	98	13	0	0	76	12	64.704
348006226	2	1	125	9	0	0	7	1	2	1	98	13	0	0	76	12	64.704
348006226	3	14	100	1	203	5	1	1	1	1	98	13	0	1	76	12	64.704
348006445	1	14	6	1	128	3	8	1	2	88	98	13	0	0	76	12	179.933
348006785	1	17	10	2	109	1	1	4	6	88	50	3	0	0	76	12	64.704
348006785	2	1	62	4	0	0	2	1	1	1	51	3	0	0	76	12	64.704
348006908	1	14	6	1	119	2	9	2	2	88	98	13	0	0	76	12	179.933
349006463	1	1	1	1	200	5	3	3	2	2	0	13	0	0	78	12	260.223
349006463	2	1	60	4	0	0	7	1	1	1	98	13	0	0	78	12	260.223
349006502	1	1	12	2	100	1	1	1	4	88	6	7	0	0	78	12	49.662
349006522	1	1	10	2	119	2	98	2	2	2	50	3	0	0	78	12	49.662
349006522	2	1	62	4	0	0	98	2	1	1	51	3	0	0	78	12	49.662
349006705	1	1	13	2	108	1	1	1	4	88	1	1	0	0	78	12	138.103
349006784	1	1	51	3	119	2	6	1	2	88	24	2	0	0	78	12	260.223
349006784	2	1	53	3	0	0	1	1	1	88	25	2	0	0	78	12	260.223
349006802	1	1	51	3	0	0	1	1	1	88	24	2	0	0	78	12	49.662
349006802	2	3	53	3	113	2	1	1	7	88	25	2	0	0	78	12	49.662
349006823	1	1	13	2	199	4	1	1	4	88	1	1	0	0	78	12	260.223
349006982	1	1	80	5	0	0	1	1	1	1	13	11	0	0	78	12	49.662
349007022	1	5	15	2	124	3	10	1	2	2	68	4	0	0	78	12	138.103
349007022	2	15	62	4	0	0	98	2	2	1	69	4	0	0	78	12	138.103
349007162	1	1	80	5	0	0	8	2	2	1	13	11	0	0	78	12	138.103
350006509	1	11	15	2	124	3	1	1	1	2	68	4	0	0	79	10	6.74
350006509	2	1	62	4	0	0	3	2	1	1	69	4	0	0	79	10	6.74
350006549	1	1	67	4	0	0	9	2	2	88	83	10	0	0	79	10	6.74
350006549	2	5	15	2	113	2	1	1	1	88	82	10	0	0	79	10	6.74
350006594	1	1	125	9	0	0	4	1	1	1	98	13	0	0	79	10	12.701
350006594	2	1	125	9	0	0	4	1	1	1	98	13	0	0	79	10	12.701
350006594	3	17	10	2	142	4	1	1	2	2	48	12	0	0	79	10	12.701
350006594	4	1	61	4	0	0	4	1	1	1	48	12	0	0	79	10	12.701
350006629	1	3	51	3	199	4	3	2	1	88	24	2	0	0	79	10	2.424
350006629	2	2	53	3	0	0	1	1	1	88	25	2	0	0	79	10	2.424
350006669	1	14	6	1	140	3	1	1	1	1	6	7	0	0	79	10	12.701
350006709	1	1	51	3	110	2	1	1	1	88	24	2	0	0	79	10	6.74
350006709	2	1	53	3	0	0	1	1	1	88	25	2	0	0	79	10	6.74
350006774	1	1	10	2	143	4	1	1	2	2	47	12	0	0	79	10	6.74
350006774	2	6	61	4	0	0	1	1	1	1	45	12	0	0	79	10	6.74
350006774	3	1	125	9	0	0	1	1	1	1	98	13	0	0	79	10	6.74
350006794	1	1	61	4	0	0	2	1	1	1	45	12	0	0	79	10	12.701
