CaseID	VehicleNumber	RoadRelation	Junction	Interchange	ENVTrafficFlow	FlowRestriction	IntersectionType	TravelLanes	AccessControl	Signage	FunctionalClass	Daylight	TrafficControl	Railroad	Functioning	RoadwayClass	RoadAlignment	RoadProfile	RoadSurface	SurfaceCondition	SurfaceDefect	DesignDefect	ShoulderType	ShoulderWidth	RumbleStrip	SightLineRestriction	SightLineDistance	AASHTODistance	ENVNoConditions	ENVRain	ENVSnow	ENVFog	ENVWindGusts	ENVHail	ENVSleet	ENVDust	ENVOtherConditions	PSU	PSUStrata	RATWeight
116005611	2	1	3	0	4	0	5	2	2	4	13	1	0	0	0	11	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	3	1	63.274
153006977	1	1	5	1	3	0	0	1	1	3	2	1	0	0	0	2	2	4	2	1	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	75	11	127.287
161005202	1	1	2	0	1	0	1	3	2	5	3	1	2	0	2	3	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	43	9	205.616
161005202	2	1	2	0	1	0	1	3	2	5	3	1	2	0	2	3	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	43	9	205.616
207003882	1	2	5	1	3	0	0	1	1	1	1	3	0	0	0	2	2	2	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	78	12	0
207003882	2	2	5	0	3	0	0	1	1	1	1	3	0	0	0	2	1	2	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	78	12	0
207004905	1	1	1	0	1	0	0	2	1	1	1	2	0	0	0	2	1	1	2	1	0	0	2	2	5	1	8887	8887	1	0	0	0	0	0	0	0	0	78	12	49.662
222004325	1	1	1	0	2	0	0	5	1	1	8	1	0	0	0	7	1	2	1	2	0	0	2	9	0	1	8887	8887	0	1	0	0	0	0	0	0	0	82	10	33.237
222004325	2	1	1	0	2	0	0	5	1	1	8	1	0	0	0	7	1	2	1	2	0	0	2	9	0	1	8887	8887	0	1	0	0	0	0	0	0	0	82	10	33.237
222004325	3	1	1	0	2	0	0	5	1	1	8	1	0	0	0	7	1	2	1	2	0	0	2	9	0	1	8887	8887	0	1	0	0	0	0	0	0	0	82	10	33.237
222004362	1	1	1	0	2	0	0	4	1	1	8	1	0	0	0	8	3	4	1	1	0	0	1	9	0	1	8887	8887	1	0	0	0	0	0	0	0	0	82	10	62.628
222005126	1	1	1	0	2	0	0	2	1	3	2	1	0	0	0	2	1	1	1	1	0	0	2	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	5	2	790.707
240006845	1	1	1	0	4	0	0	4	2	3	11	1	0	0	0	10	1	2	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	12	5	292.312
240006845	2	1	1	0	4	0	0	4	2	3	11	1	0	0	0	10	1	2	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	12	5	292.312
240006845	3	1	1	0	4	0	0	4	2	3	11	1	0	0	0	10	1	2	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	12	5	292.312
329005924	1	1	1	0	4	0	0	2	2	4	10	1	0	0	0	11	1	1	2	2	0	0	2	2	0	1	8887	8887	0	1	0	0	0	0	0	0	0	4	3	53.409
329005924	2	1	1	0	4	0	0	2	2	4	10	1	0	0	0	11	1	1	2	2	0	0	2	2	0	1	8887	8887	0	1	0	0	0	0	0	0	0	4	3	53.409
329005981	1	1	1	0	2	0	0	3	2	3	10	1	2	0	2	9	1	1	2	1	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	22.769
329005981	2	1	1	0	2	0	0	3	2	3	10	1	2	0	2	9	1	1	2	1	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	22.769
329005981	3	1	1	0	2	0	0	3	2	3	10	1	2	0	2	9	1	1	2	1	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	22.769
329005981	4	1	1	0	2	0	0	3	2	3	10	1	2	0	2	9	1	1	2	1	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	22.769
329005981	5	1	1	0	2	0	0	3	2	3	10	1	2	0	2	9	1	1	2	1	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	22.769
329005981	6	1	1	0	2	0	0	3	2	3	10	1	2	0	2	9	1	1	2	1	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	22.769
329005982	1	1	4	0	4	0	0	2	2	4	10	1	0	0	0	11	1	1	2	1	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
329005982	2	1	4	0	4	0	0	2	2	4	10	1	0	0	0	11	1	1	2	1	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
329006004	1	1	2	0	4	0	1	3	2	4	2	1	2	0	2	4	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	53.409
329006004	2	1	2	0	5	0	1	3	2	4	2	1	2	0	2	3	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	53.409
329006004	3	1	3	0	4	0	1	3	2	4	10	1	2	0	2	10	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	53.409
329006005	1	1	1	0	4	0	0	2	2	3	10	1	0	0	0	11	1	1	2	2	0	0	2	4	0	1	8887	8887	0	1	0	0	0	0	0	0	0	4	3	34.364
329006005	2	1	1	0	4	0	0	2	2	3	10	1	0	0	0	11	3	1	2	2	0	0	2	2	0	1	8887	8887	0	1	0	0	0	0	0	0	0	4	3	34.364
329006024	1	1	1	0	4	0	0	3	2	4	10	1	0	0	0	10	1	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
329006024	2	1	1	0	4	0	0	3	2	4	10	1	0	0	0	10	3	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
329006101	1	1	4	0	4	0	0	2	2	6	13	1	0	0	0	11	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
329006242	1	1	1	0	4	0	0	2	2	3	10	1	0	0	0	11	2	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	22.769
329006242	2	1	1	0	4	0	0	2	2	3	10	1	0	0	0	11	2	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	22.769
329006242	3	1	1	0	4	0	0	2	2	3	10	1	0	0	0	11	3	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	22.769
329006341	1	1	3	0	4	1	6	2	2	4	12	1	2	0	2	11	1	9	2	1	0	0	2	2	0	1	8887	8887	0	0	0	0	0	0	0	0	0	4	3	34.364
329006401	1	1	2	0	5	0	1	5	2	6	11	1	2	0	2	10	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
329006401	2	1	2	0	1	0	1	4	2	3	10	1	2	0	2	9	1	1	2	1	0	0	2	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
329006424	1	1	2	0	4	0	8	2	2	6	13	1	20	0	2	11	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
329006424	2	1	2	0	4	0	7	3	2	4	10	1	0	0	0	10	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
329006526	1	1	2	0	4	0	5	2	2	4	3	1	0	0	0	5	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	53.409
329006526	2	1	2	0	4	0	5	2	2	6	6	1	20	0	2	5	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	53.409
329006566	1	1	1	0	4	0	0	4	2	2	11	1	0	0	0	10	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	0
329006566	2	1	1	0	4	0	0	4	2	2	11	1	0	0	0	10	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	0
329006606	1	2	1	0	4	0	0	2	2	4	10	1	0	0	0	11	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
329006606	2	1	1	0	4	0	0	2	2	4	10	1	0	0	0	11	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	4	3	34.364
331005648	1	1	1	0	2	0	0	3	1	1	8	2	0	0	0	7	1	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	19.812
331005648	2	1	1	0	2	0	0	3	1	1	8	2	0	0	0	7	1	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	19.812
331005767	1	1	2	0	2	0	1	4	2	3	10	1	2	0	2	9	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	19.812
331005767	2	1	2	0	2	0	1	4	2	3	10	1	2	0	2	9	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	19.812
331005767	3	1	2	0	2	0	1	4	2	3	10	1	2	0	2	3	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	19.812
331005767	4	1	2	0	1	0	1	3	2	6	10	1	2	0	2	10	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	19.812
331005867	1	1	1	0	3	0	0	2	1	1	8	2	98	2	2	7	2	1	2	1	0	0	1	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	29.901
331005868	1	1	1	0	2	0	0	3	1	1	8	1	0	0	0	7	1	1	1	1	0	0	1	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	29.901
331005868	2	2	1	0	2	0	0	3	1	1	8	1	0	0	0	7	1	1	1	1	0	0	1	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	29.901
331006007	1	1	1	0	2	0	0	2	1	1	1	2	0	0	0	2	1	1	1	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	46.473
331006007	2	1	1	0	2	0	0	2	1	1	1	2	0	0	0	2	1	1	1	1	0	0	0	0	0	1	8887	8887	0	0	0	0	0	0	0	0	0	6	1	46.473
331006008	1	1	2	0	4	0	7	2	2	6	11	4	0	0	0	11	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	19.812
331006008	2	1	2	0	4	0	8	2	2	6	11	4	0	0	0	11	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	19.812
331006127	1	1	1	0	4	0	0	2	2	6	11	1	2	0	2	11	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	19.812
331006249	1	1	1	0	2	0	0	3	1	1	8	3	0	0	0	7	3	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	46.473
331006250	1	4	3	0	1	0	1	3	2	6	12	1	2	0	2	9	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	29.901
331006253	1	1	1	0	2	0	0	3	1	1	8	1	0	0	0	7	3	1	2	2	0	9	2	4	4	1	8887	8887	0	1	0	0	0	0	0	0	0	6	1	29.901
331006253	2	1	1	0	2	0	0	3	1	1	8	1	0	0	0	7	3	1	2	2	0	9	2	4	4	1	8887	8887	0	1	0	0	0	0	0	0	0	6	1	29.901
331006312	1	1	1	0	2	0	0	3	1	1	8	1	0	0	0	7	3	1	2	1	0	0	2	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	19.812
331006314	1	1	2	0	1	0	1	3	2	2	11	3	1	0	2	7	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	19.812
331006352	1	1	2	0	4	0	1	5	2	6	11	1	2	0	2	9	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	46.473
331006352	2	1	2	0	1	0	1	3	2	3	11	1	2	0	2	9	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	6	1	46.473
332006056	1	1	6	0	1	0	88	5	2	3	10	1	61	1	2	10	2	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	8	2	206.963
332006211	1	1	1	0	1	0	0	2	1	1	8	1	40	0	2	8	3	4	2	1	0	0	2	4	6	1	8887	8887	1	0	0	0	0	0	0	0	0	8	2	206.963
332006431	1	1	2	0	4	0	6	3	2	3	10	1	2	0	2	10	1	4	1	1	0	5	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	8	2	0
332006531	1	1	1	0	4	0	0	4	2	4	11	1	0	0	0	10	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	8	2	137.133
332006696	1	1	5	1	3	0	0	2	1	3	10	1	40	0	2	8	2	4	2	1	0	0	1	4	4	1	8887	8887	1	0	0	0	0	0	0	0	0	8	2	206.963
332006697	1	2	1	0	2	0	0	2	1	1	8	1	22	0	1	8	3	4	1	1	0	0	2	4	6	1	8887	8887	1	0	0	0	0	0	0	0	0	8	2	137.133
332006751	1	2	1	0	2	0	0	2	1	1	8	3	22	0	1	8	3	4	1	2	0	0	2	4	5	1	8887	8887	0	0	1	0	0	0	0	0	0	8	2	206.963
333006234	1	1	2	0	2	0	1	5	2	4	11	3	2	0	2	9	1	4	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	216.96
333006234	2	1	2	0	1	0	1	5	2	4	11	3	2	0	2	9	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	216.96
333006294	1	1	5	1	2	0	0	5	1	1	8	1	0	0	0	7	2	4	2	1	0	0	2	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	468.821
333006374	1	1	1	0	2	0	0	4	1	1	8	3	0	0	0	7	1	2	2	2	0	0	2	4	0	1	8887	8887	0	1	0	0	0	0	0	0	0	9	8	756.035
333006374	2	1	1	0	2	0	0	4	1	1	8	3	0	0	0	7	1	2	2	2	0	0	2	4	0	1	8887	8887	0	1	0	0	0	0	0	0	0	9	8	756.035
333006454	1	1	1	0	2	0	0	3	1	2	9	1	0	0	0	7	1	3	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	756.035
333006454	2	1	1	0	2	0	0	3	1	2	9	1	0	0	0	7	1	3	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	756.035
333006634	1	1	1	0	2	0	0	4	1	1	8	3	0	0	0	7	1	1	2	1	0	0	2	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	0
333006634	2	2	1	0	2	0	0	4	1	1	8	3	0	0	0	7	1	1	2	1	0	0	2	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	0
333006714	1	1	1	0	4	0	0	4	2	3	3	1	0	0	0	4	2	1	2	2	1	0	2	4	0	1	8887	8887	0	1	0	0	0	0	0	0	0	9	8	756.035
333006714	2	1	1	0	4	0	0	4	2	3	3	1	0	0	0	4	3	1	2	2	0	0	2	4	0	1	8887	8887	0	1	0	0	0	0	0	0	0	9	8	756.035
333006714	3	1	1	0	1	0	0	4	2	3	3	1	0	0	0	4	3	1	2	2	0	0	2	4	0	1	8887	8887	0	1	0	0	0	0	0	0	0	9	8	756.035
333006859	1	2	1	0	3	0	0	5	1	1	8	2	0	0	0	7	1	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	0
333006859	2	2	1	0	3	0	0	5	1	1	8	2	0	0	0	7	1	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	0
333006958	1	1	1	0	2	0	0	4	1	2	9	1	0	0	0	7	1	1	1	1	0	0	1	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	756.035
333006978	1	1	5	1	2	0	0	5	1	1	8	1	0	0	0	7	1	4	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	468.821
333006978	2	1	5	1	2	0	0	5	1	1	8	1	0	0	0	7	1	4	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	468.821
333007018	1	1	1	0	2	0	0	4	2	2	2	1	22	0	2	3	1	1	2	1	0	0	2	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	216.96
333007018	2	1	1	0	2	0	0	4	2	2	2	1	0	0	0	3	1	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	216.96
333007018	3	1	1	0	2	0	0	4	2	2	2	1	0	0	0	3	1	1	2	1	0	0	2	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	9	8	216.96
335006545	1	1	5	1	3	0	88	2	1	1	8	2	0	0	0	8	2	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	125.127
335006546	1	3	5	1	2	0	0	3	1	1	8	1	0	0	0	7	1	1	2	1	0	0	2	4	6	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	125.127
335006565	1	1	1	0	2	0	0	3	1	1	8	1	0	0	0	7	1	4	2	1	0	0	2	3	4	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	68.691
335006827	1	1	4	0	4	0	88	2	2	4	4	1	40	0	2	5	2	1	2	1	0	0	4	3	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	68.691
335006827	2	1	4	0	4	0	88	2	2	4	4	1	0	0	0	5	3	1	2	1	0	0	4	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	68.691
335006828	1	1	2	0	4	0	8	2	2	4	5	1	20	0	2	5	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	21.198
335006828	2	1	2	0	4	0	7	3	2	4	4	1	0	0	0	5	3	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	21.198
335006865	1	1	3	0	4	0	5	2	2	4	5	1	4	0	2	5	1	2	2	1	0	0	0	0	0	2	120	130	1	0	0	0	0	0	0	0	0	11	6	21.198
335006865	2	1	2	0	4	0	5	2	2	4	4	1	4	0	2	5	1	4	2	1	0	0	4	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	21.198
335006931	1	4	1	0	4	0	0	2	2	5	6	1	40	0	2	5	3	1	4	2	1	8	0	0	0	1	8887	8887	0	1	0	0	0	0	0	0	0	11	6	68.691
335007048	1	1	5	1	3	0	0	3	1	1	8	2	0	0	0	8	2	4	2	1	0	0	2	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	21.198
335007048	2	1	5	1	2	0	0	3	1	1	8	2	0	0	0	8	1	4	2	1	0	0	2	4	4	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	21.198
335007108	1	4	2	0	4	0	8	2	2	3	3	2	5	0	2	5	1	1	2	1	0	0	4	4	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	125.127
335007109	1	2	5	1	1	0	0	2	1	1	8	1	0	0	0	8	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	125.127
335007109	2	1	5	1	1	0	0	2	1	1	8	1	0	0	0	8	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	125.127
335007109	3	1	5	1	1	0	0	2	1	1	8	1	0	0	0	8	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	125.127
335007154	1	1	1	0	5	0	0	5	2	2	10	2	0	0	0	10	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	21.198
335007154	2	1	1	0	4	0	0	5	2	2	10	2	0	0	0	10	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	21.198
335007248	1	1	2	0	4	0	8	2	2	4	5	1	40	0	2	5	2	1	4	4	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	11	6	125.127
336006304	1	1	3	0	4	0	5	2	2	4	3	3	0	0	0	5	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	13	6	41.321
336006304	2	1	3	0	4	0	5	2	2	4	3	3	0	0	0	5	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	13	6	41.321
336006328	1	1	4	0	4	0	5	5	2	4	5	1	20	0	0	4	1	1	2	2	0	0	0	0	0	1	8887	8887	0	1	0	0	0	0	0	0	0	13	6	243.914
336006328	2	1	4	0	4	0	5	2	2	8	13	1	20	0	2	12	1	1	2	2	0	0	0	0	0	1	8887	8887	0	1	0	0	0	0	0	0	0	13	6	243.914
336006368	1	1	2	0	4	0	1	5	2	6	12	1	1	0	2	10	1	1	2	2	0	0	0	0	0	1	8887	8887	0	1	0	0	0	0	0	0	0	13	6	243.914
336006368	2	1	2	0	4	0	1	6	2	6	12	1	1	0	2	10	1	1	2	2	0	0	0	0	0	1	8887	8887	0	1	0	0	0	0	0	0	0	13	6	243.914
337006085	1	1	2	0	1	0	1	5	2	3	10	1	1	0	2	9	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	111.86
337006162	1	1	2	0	2	0	1	4	2	2	10	1	1	0	2	9	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	111.86
337006162	2	1	2	0	2	0	1	4	2	3	10	1	1	0	2	9	1	1	2	1	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	111.86
337006282	1	1	1	0	2	0	0	6	1	1	8	1	0	0	0	7	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	111.86
337006282	2	1	1	0	2	0	0	6	1	1	8	1	0	0	0	7	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	111.86
337006322	1	1	1	0	1	0	0	2	2	2	2	2	0	0	0	3	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	69.365
337006322	2	1	1	0	1	0	0	2	2	2	2	2	0	0	0	4	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	69.365
337006323	1	1	1	0	1	0	0	2	2	2	2	2	0	0	0	3	1	1	2	1	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	69.365
337006522	1	1	1	0	1	0	0	5	2	3	2	3	0	0	0	3	1	1	2	2	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	32.101
337006522	2	1	1	0	1	0	0	5	2	3	2	3	0	0	0	3	1	1	2	2	0	0	2	1	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	32.101
337006545	1	1	1	0	1	3	0	2	1	1	1	2	0	0	0	2	1	1	2	1	0	0	2	3	4	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	32.101
337006545	2	1	1	0	1	3	0	2	1	1	1	2	0	0	0	2	1	1	2	1	0	0	2	3	4	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	32.101
337006545	3	1	1	0	1	3	0	2	1	1	1	2	0	0	0	2	1	1	2	1	0	0	2	3	4	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	32.101
337006545	4	1	1	0	1	3	0	2	1	1	1	2	0	0	0	2	1	1	2	1	0	0	2	3	4	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	32.101
337006545	5	1	1	0	1	3	0	2	1	1	1	2	0	0	0	2	1	1	2	1	0	0	2	3	4	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	32.101
337006565	1	1	1	0	2	4	0	6	1	1	8	1	0	0	0	7	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	69.365
337006565	2	1	1	0	2	4	0	6	1	1	8	1	0	0	0	7	1	1	2	1	0	0	2	2	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	69.365
337006642	1	1	2	0	1	0	7	4	2	3	10	3	0	0	0	9	1	1	2	2	0	0	0	0	0	1	8887	8887	1	0	0	0	0	0	0	0	0	41	7	111.86
