CaseID	CrashDate	CrashTime	VehicleCount	TruckCount	CarCount	NonMotoristCount	CrashType	CrashPARSevCode	CrashRESSevCode	Summary	Day	CollisionType	Treatment	OCCFatality	CRAAlcohol	AnyDrugsCrash	PSU	PSUStrata	RATWeight
329006341	2003-09-01	12:59	1	1	0	0	Vehicle to Object(s) -+- Rollover	1	2	Vehicle #1, a 1999 Kenworth dump truck was south bound on a two lane undivided roadway.  The vehicle was fully loaded with gravel and had a registered gross vehicle weight of 73,280 pounds.  Vehicle 1 approaches an intersection that is controlled by a tra	5	57	4	0	2	2	4	3	34.364
329006401	2003-10-01	08:00	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	1	2	Vehicle #1, a 1999 Toyota Camry is stopped at an intersection at a traffic light in a "left turn only" lane, the second vehicle in line behind a unidentified/uninvolved passenger car.  V1 is facing north bound on this 4 lane undivided roadway and intends	7	30	6	0	2	2	4	3	34.364
329006424	2003-10-01	15:09	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	1	2	Vehicle #1, a 1990 Volvo 760, was southbound on a two lane undivided roadway approaching a tee intersection controlled by a stop sign. Vehicle #2, a 2003 Sterling 35 foot straight truck, was westbound on an undivided roadway that has one eastbound lane an	4	30	4	0	2	2	4	3	34.364
329006526	2003-12-01	15:46	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	3	3	Vehicle #1, a 1993 Toyota Camry, was northbound on a two lane undivided roadway approaching a cross intersection.  Vehicle #2, an empty 1990 Mack three axle dump truck, was westbound on an intersecting two-lane roadway approaching the intersection control	3	30	3	0	2	1	4	3	53.409
329006566	2003-12-01	09:34	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	0	0	Vehicle #1 was a 1995 Plymouth Voyager southbound in the right lane of a four lane undivided roadway. Vehicle #2, a 1995 International tractor pulling a 28 foot semi trailer, was northbound in the right lane on the same four lane undivided roadway. The we	6	66	3	0	2	1	4	3	0
329006606	2003-12-01	10:45	2	1	1	0	Vehicle to vehicle -+- Rollover	1	2	Vehicle #1, a 2001 Hyundai Elantra, was stopped on the shoulder of a two lane undivided roadway, facing north.  The road had a 1.9 meter paved shoulder. The operator of the vehicle had previously been traveling southbound and observed her neighbors chasin	3	30	4	0	2	2	4	3	34.364
331005648	2003-03-01	04:05	2	1	1	0	Vehicle to Object(s) -+- Non-collision	4	4	Vehicle #2, was a 1998 Freightliner tractor with a fully loaded trailer and a tandem dolly. No trailer was attached to the dolly. V1 was traveling westbound on a six-lane metal guardrail divided highway, three westbound and three eastbound. The dry concre	6	30	3	1	2	2	6	1	19.812
331005767	2003-06-01	07:55	4	1	3	0	Vehicle to vehicle -+- Angle/sideswipe	4	4	V4 was a 1988 White / GMC/ Volvo straight garbage truck. V1 was a 2002 Honda Accord. V2 was a 1995 Ford Explorer. V3 was a 2001 Land Rover.    V4 approached the intersection heading south in the right lane.  According to the truck driver (V4), while appro	5	19	3	1	2	1	6	1	19.812
331005867	2003-07-01	03:30	1	1	0	0	Vehicle to Object(s) -+- Rollover	2	2	Vehicle #1 was a 2000 Freightliner tractor with a 1984 Loadcraft 45' intermodal semi trailer.  V1 was southbound on a six-lane interstate with three lanes in each direction when it exited onto a two-lane westward exit ramp.  Conditions were dry and dark w	2	57	4	0	2	2	6	1	29.901
331005868	2003-07-01	11:43	2	2	0	0	Vehicle to vehicle -+- Rear end	2	2	Vehicle #1, a 1994 Ford flatbed straight truck, was traveling northbound on a ten-lane interstate.   The section of interstate being traveled by V1 had three northbound lanes with a shoulder and guardrails on each side.  V2, a 2000 Mack closed van straigh	4	60	4	0	9	1	6	1	29.901
331006007	2003-07-01	03:21	2	1	1	0	Vehicle to vehicle -+- Rear end	2	3	Vehicle #1, a 1994 Toyota Camry 2-door coupe, was traveling eastbound in lane one of a four lane divided interstate with two lanes in each direction and speed limit of 50 mph. Vehicle #2, a 2000 Peterbilt four axle dump truck, was traveling eastbound behi	3	30	3	0	2	2	6	1	46.473
331006008	2003-08-01	05:58	2	1	0	0	Vehicle to vehicle -+- Head-on	4	4	Vehicle #2, a 2000 International refrigerated straight truck, was traveling Northbound on a two-way (1 Northbound and 1 Southbound) roadway, with an approaching cross intersection with stop signs, when it contacted vehicle #1, a 2000 Harley-Davidson motor	2	58	2	0	2	1	6	1	19.812
331006127	2003-10-01	11:53	1	1	0	1	Vehicle to Object(s) -+- Head-on	4	4	Vehicle #1 was a 1998 Kenworth dump truck traveling westbound on a two lane urban road approaching a signal-controlled intersection.   A pedestrian was southbound attempting to cross the street.  Parking was legal on both sides of the street and cars were	5	57	0	0	2	1	6	1	19.812
331006249	2003-11-01	05:11	1	1	0	0	Vehicle to Object(s) -+- Object off road	4	3	Vehicle #1 was a 2003 Freightliner tractor with a fully loaded 1999 Utility trailer.  It was early morning and dark, however the roadway was lighted by overhanging streetlights. The road was dry and level, and there were no adverse weather conditions.  V1	1	57	0	1	2	1	6	1	46.473
331006250	2003-11-01	08:25	1	1	0	0	Vehicle to Object(s) -+- Rollover	1	2	Vehicle #1 was a 1993 Mack tractor with a  fully loaded open top van trailer attached. Vehicle #1 was turning left (south) at a four way intersection when the vehicle's right tires contacted the curb of an island at the southwest corner of the intersectio	3	57	4	0	2	1	6	1	29.901
331006253	2003-11-01	13:53	2	1	1	0	Vehicle to Object(s) -+- Object on road	2	2	The crash occurred on a wet level asphalt roadway on a left curve. It was rainy with gray skies.           Vehicle #2, a 2000 Volvo with a trailer and a fully loaded intermodal container attached, was traveling in the center of three westbound lanes on a	6	30	3	0	2	2	6	1	29.901
331006312	2003-12-01	16:30	1	1	0	0	Vehicle to Object(s) -+- Object off road	4	4	Vehicle #1, a 1999 International tractor and trailer bed with a fully loaded intermodal container on top, was traveling Eastbound in lane #1 on a six lane highway (3 Eastbound & 3 Westbound). V1  impacted the cement barrier on the right road edge, climbed	6	57	0	1	2	2	6	1	19.812
331006314	2003-12-01	06:18	1	1	0	1	Vehicle to Object(s) -+- Head-on	4	4	Vehicle #1, a 1998 Volvo tractor hauling a van semi trailer loaded with 40,000 pounds, was traveling southbound on a twelve-lane highway. The northbound and southbound lanes are divided into two three-lane non-positive barrier roadways with a speed limit	3	57	0	0	2	1	6	1	19.812
331006352	2003-12-01	07:04	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	3	3	Vehicle #2 was a 2003 Freightliner tractor hauling a 53' van semi trailer fully loaded with 42,000 pounds of paper products. V2 was traveling northbound on a twelve lane state highway.  The northbound and southbound lanes are divided into two three-lane n	1	66	3	0	1	1	6	1	46.473
332006056	2003-04-01	12:10	1	1	0	0	Vehicle to vehicle -+- Angle/sideswipe	2	2	V1 was a 2002 Freightliner FL 60 straight box truck with one occupant. The vehicle had an automatic transmission. The vehicle was loaded with one 3200-pound electric motor. Due to vehicle damage it could not be determined if the cargo was properly secured	5	57	4	0	9	2	8	2	206.963
332006211	2003-06-01	14:20	1	1	0	0	Multi-vehicle to object(s) -+- Rollover	1	2	V1 was a 2002 Freightliner Columbia tractor pulling one 16.2m long van trailer. The trailer was fully loaded with 21,902kg of bottled soft drinks. The bottles were secured in cartons that were stacked on pallets.  V1 was traveling in the right of two sout	5	57	0	0	2	1	8	2	206.963
332006431	2003-09-01	11:32	1	1	0	0	Vehicle to Object(s) -+- Non-collision	0	0	V1 was an empty Mack RD 600 series dump truck towing a 9.4m flatbed trailer loaded with a Lee Boy model 8500 asphalt paving machine and an Ingersol Rand model DD 22 asphalt compactor. The paver weighed approximately 4,080 kg and was ? full of fresh asphal	3	57	0	0	2	1	8	2	0
332006531	2003-09-01	17:40	1	1	0	1	Vehicle to Object(s) -+- Object on road	4	4	A  1999 Mack CL713 straight dump truck was traveling east in the left of two eastbound lanes on a straight and level section of a four lane roadway. A witness estimated the truck's travel speed to be approximately 35 mph.The truck had a GVWR of 73,280 lbs	4	57	0	0	2	2	8	2	137.133
332006696	2003-11-01	16:46	1	1	0	0	Vehicle to Object(s) -+- Rollover	1	2	V1 was a 1996 Peterbilt model 379 tractor pulling a flatbed semi-trailer loaded with steel coils. The driver was the only occupant of the vehicle. The vehicle was traveling east as it exited a three-lane highway onto a two- lane exit ramp. The concrete ro	6	57	3	0	2	2	8	2	206.963
332006697	2003-11-01	11:20	1	1	0	0	Vehicle to Object(s) -+- Rollover	4	4	V1 was a 1996 Kenworth T60 tractor towing a flatbed semitrailer fully loaded with Christmas trees.   There were two occupants in the vehicle, the driver and a passenger who was seated in the right front seat. The concrete roadway was dry and free of any d	1	57	4	1	9	2	8	2	137.133
332006751	2003-12-01	05:15	1	1	0	0	Vehicle to Object(s) -+- Rollover	1	2	V1 was a 2003 Freightliner FLD tractor towing a refrigerated van trailer 80% full of coffee creamer bottles.   There was one occupant in the vehicle. The concrete roadway was wet and free of any defects.   V1 was traveling south in the right of two southb	4	57	0	0	2	2	8	2	206.963
333006234	2003-04-01	04:50	2	2	0	0	Vehicle to vehicle -+- Angle/sideswipe	4	4	Vehicle one was a four axle 1999 Sterling dump truck carrying a load of dirt.  Vehicle two was a two axle 2001 Mack tractor hauling a two axle semi-trailer loaded with various materials including some chemicals with an inhalation hazard.        The crash	4	60	3	1	2	2	9	8	216.96
333006294	2003-05-01	09:46	1	1	0	0	Vehicle to Object(s) -+- Rollover	2	2	Vehicle 1 is a 1996 Volvo WG tractor towing a 1987 Hercules-Ajax semi-trailer frame loaded with a shipping crate.  V1 was traveling southbound in lane 1 of a 5-lane, single-direction, dry, bituminous roadway with a 3% downhill grade during daylight hours.	3	57	4	0	2	2	9	8	468.821
333006374	2003-06-01	02:12	2	2	0	0	Vehicle to vehicle -+- Rear end	2	3	Vehicle 1 was a 2000 Mack CH603 tractor towing an empty 1993 Fruehauf semi-trailer.  Vehicle 2 was a 1998 Freightliner FLD-120 Long Conventional tractor towing a 2000 Fruehauf semi-trailer frame loaded with a shipping container.        V1 was traveling no	4	60	3	0	2	1	9	8	756.035
333006454	2003-06-01	09:52	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	3	3	Vehicle one is an '88 Ford LTD Crown Victoria with 3 occupants.  Vehicle two is a '93 Freightliner FLD-120 Long Conventional tractor carrying an empty refuse hauler semi-trailer.  V2 contains only the driver.      V1 was traveling Northbound in lane 2 on	3	30	3	0	2	2	9	8	756.035
333006634	2003-08-01	05:59	2	1	1	0	Vehicle to vehicle -+- Rear end	3	3	Vehicle one was a 1995 Mazda MX-3 coupe driven by a 24 year old male.  Vehicle two was a 1998 Peterbilt 379 tractor carrying an empty 1998 Wabash refrigerated trailer.  V2 is driven by a 21 year old male.        Vehicle two was traveling south on a 55-mph	2	30	3	0	2	2	9	8	0
333006714	2003-09-01	12:30	3	1	2	0	Multi-vehicle -+- Angle/sideswipe	3	3	Vehicle one is a 2001 Saturn SC1 3-door coupe with an 18 year old female driver.  Vehicle two is a 1999 Isuzu Rodeo with a 41 year old female driver and her two child passengers.  Vehicle three is a 2000 Freightliner tractor towing a Transcraft trailer lo	6	22	3	0	2	2	9	8	756.035
333006859	2003-10-01	02:22	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	4	4	Vehicle one is a '97 Nissan Altima driven by a 26-year-old male.  Vehicle two is a '99 International 9100 series 3-axle tractor carrying an empty '93 Trailmobile refrigerated trailer.  V2 is driven by a 53-year-old male.      V1, V2, and a non-contact veh	6	30	0	1	9	1	9	8	0
333006958	2003-12-01	10:39	1	1	0	0	Vehicle to Object(s) -+- Object off road	3	3	Vehicle 1 was a 1988 Mack R686ST tractor towing an empty 1980 Dorsey dump trailer.  The driver of Vehicle 1 was a 33-year-old male accompanied by a 17-year-old female passenger in the right front seat.  Vehicle 1 was traveling east in the first lane of a	5	57	3	0	2	1	9	8	756.035
333006978	2003-12-01	09:58	2	2	0	0	Vehicle to vehicle -+- Rear end	2	2	Vehicle one was a '97 Kenworth T800 tractor hauling a '03 XL Specialized lowboy three axle semi trailer.  The trailer was loaded with a large "refrigeration house" that reportedly weighed 26,000 pounds.  V1 was driven by a 35 year-old male.       Vehicle	2	60	4	0	2	1	9	8	468.821
333007018	2003-12-01	13:34	3	1	2	0	Multi-vehicle -+- Angle/sideswipe	4	4	V1 was a 1990 Lincoln Continental driven by a 28-year old male.  V2 was a 1990 Nissan Pathfinder driven by a 51-year old male.  V3 was a 1995 International F-4900 refrigerated box truck being driven by a 30-year old male with a 37-year old male passenger.	5	22	7	1	2	2	9	8	216.96
335006545	2003-05-01	00:20	1	1	0	0	Vehicle to Object(s) -+- Rollover	2	2	Vehicle 1, a 1999 Volvo conventional tractor, pulling a 1996 53ft Wabash van trailer, was negotiating an exit/entrance ramp to the right, up hill, to merge onto an interstate roadway.  At the end of the curved exit/entrance ramp there was a half-mile long	6	57	8	0	2	2	11	6	125.127
335006546	2003-05-01	14:10	1	1	0	0	Vehicle to Object(s) -+- Object off road	2	2	GENERAL CRASH FORM SUMMARY       Vehicle 1, a 2003 Volvo conventional semi tractor pulling a 53ft semi Stoughton van trailer, was westbound in lane 2 of 3 westbound lanes of a 6 lane interstate roadway.  The westbound lanes were separated from the eastbou	7	57	4	0	2	2	11	6	125.127
335006565	2003-05-01	06:15	1	1	0	0	Vehicle to Object(s) -+- Rollover	2	3	Vehicle 1, a 2003 International straight truck with a reefer body, GVWR of 25,999lbs, was eastbound in the middle lane of three eastbound lanes of a six lane, bituminous, interstate roadway with a positive barrier.  The driver of V1 lost control, the vehi	4	57	3	0	2	2	11	6	68.691
335006827	2003-08-01	14:10	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	2	3	Vehicle 1, a 2002 Pontiac Grand 4 door sedan, was westbound on a 2 lane, two way, bituminous,  major rural connector roadway curving right.  Vehicle 2, a 2003 Sterling/Freightliner conventional medium/heavy tractor pulling a Benlee, 16m long, semi, rollof	4	30	3	0	2	1	11	6	68.691
335006828	2003-08-01	15:42	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	4	4	Crash Description       Vehicle 1, a 1999 Chevrolet Astro minivan, was turning left, (west), at a T-intersection controlled by a stop sign.  Vehicle 2, a 1986 GMC 12,000 lb dump truck, was eastbound on the 2 lane (with right turn lane), bituminous, 2-way	7	66	0	1	2	1	11	6	21.198
335006865	2003-08-01	10:39	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	4	4	This crash occurred at an oblique cross intersection. The speed limit on both roadways was 50 mph (80 kmph). The crash occurred during daylight hours with no adverse weather conditions.  V1, a 1995 Acura 2 door hatchback, was westbound on a rural minor co	2	30	3	1	2	2	11	6	21.198
335006931	2003-09-01	11:05	1	1	0	0	Vehicle to Object(s) -+- Non-collision	2	3	GENERAL CRASH SUMMARY  Vehicle 1, a 1995 GMC straight truck, GVWR 32,000lb, with a 28,000gal propane tank, was northbound on a rural, 2 lane, wet, gravel/slag, newly graded roadway during a heavy rain.  It was daylight and V1 was approaching a curve to th	2	57	4	0	2	1	11	6	68.691
335007048	2003-10-01	02:46	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	4	4	Vehicle 1, a 1998 Geo (Chevrolet) Tracker, was negotiating an entrance ramp (20mph posted speed limit) curving right to enter an eastbound, three-lane, bituminous, interstate roadway.  Vehicle 2, a 2004 Freightliner conventional tractor pulling a 53ft sem	3	47	0	1	1	2	11	6	21.198
335007108	2003-11-01	22:32	1	1	0	0	Vehicle to Object(s) -+- Object off road	1	2	General Crash Form Summary       Vehicle one, a 1996 Freightliner conventional cab tractor pulling a 1996 Transcraft flatbed, semi trailer, was traveling northbound on a 2 lane, 2 way, state highway.  The cargo was 9281kgs of steel shot in bags on pallets	3	57	4	0	2	2	11	6	125.127
335007109	2003-11-01	09:10	3	1	2	0	Multi-vehicle -+- Rear end	1	2	Vehicle 1, a 2003 Chevrolet pickup, was southbound on a one-lane entrance ramp attempting to merge left into the two southbound lanes of a four-lane divided interstate.  As he neared the end of the entrance ramp, he came to a stop because heavy traffic wa	2	28	4	0	2	1	11	6	125.127
335007154	2003-11-01	02:30	2	1	1	0	Vehicle to vehicle -+- Rear end	4	4	Vehicle 1, a 1993 Plymouth Voyager minivan, was westbound in lane 1 of a 5 lane, urban, US, bituminous roadway.  The roadway has 2 lanes each way with a center turn lane and is not divided.  It was dark, unlighted and there were no adverse weather conditi	5	66	2	1	1	2	11	6	21.198
335007248	2003-12-01	14:23	1	1	0	0	Vehicle to Object(s) -+- Object off road	2	2	Vehicle 1, a 2002 Chevrolet/Isuzu COE straight, two axle, medium-heavy truck with a van box, was westbound on a rural, two lane, slag/gravel roadway.  The roadway was ice covered and had an un-posted speed limit of 55mph.  V1 was approaching a T-intersect	7	57	0	0	2	2	11	6	125.127
336006304	2003-10-01	19:50	2	1	1	0	Vehicle to vehicle -+- Rear end	4	4	Vehicle # 1, a 1993 Ford Tempo, and vehicle # 2 a 1997 Ford LT9513  dump truck were heading south on a county road. Vehicle # 2 was stopped to turn left and vehicle # 1 was traveling behind vehicle # 2.  The level, bituminous road was straight and had a s	1	30	4	1	1	1	13	6	41.321
336006328	2003-10-01	09:20	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	2	2	The crash occurred on a straight, level, asphalt, five-lane rural road. The undivided east/west road had a center turn lane and private driveways on each side.  Conditions were daylight with rain and a posted speed of 45mph.      V1 was a 2000 Chevrolet E	3	66	4	0	2	2	13	6	243.914
336006368	2003-10-01	08:15	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	3	2	Vehicle #1, a 1988 Honda Accord, was southbound on a wet, bituminous, 5 lane , 2-way, straight, level city street. Vehicle #1 was traveling in the right curb lane on a 35 mph street when it was contacted in the right side passenger compartment by Vehicle	3	30	4	0	2	1	13	6	243.914
337006085	2003-05-01	08:05	1	1	0	1	Vehicle to Object(s) -+- Angle/sideswipe	2	3	V1, a 1999 Kenworth T600 tractor towing a 1994 Great Dane refrigerated van trailer was traveling north in the right hand turn lane on a level, 5 lane divided roadway and approached a 4-leg intersection controlled by traffic signals.  V1 stopped at the red	3	57	9	9	2	2	41	7	111.86
337006162	2003-06-01	13:23	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	3	3	V1, a compact car, and V2, a semi-tractor trailer, were both stopped for red lights in lanes 3 and 4 respectively.  V1 was in lane 4, which was a left turn only lane and V2 in was in lane 3, a straight/left turn option lane.  The roadway was dry, level, a	6	30	3	0	2	1	41	7	111.86
337006282	2003-07-01	14:39	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	3	3	V1, a 2002 Honda Accord, was traveling in the daylight in lane three on a dry, bituminous, six lane, interstate.  V2, a 1996 Mack tractor trailer, was in the same direction in the left adjacent lane.  V1 entered lane four from the right.  The driver of V1	5	30	3	0	2	1	41	7	111.86
337006322	2003-07-01	22:55	2	2	0	0	Vehicle to vehicle -+- Rear end	1	2	V1 & V2 were 1999 Freightliner tractors pulling 53ft-refrigerated semi trailers loaded with food for separate carriers.  Both were southbound in the right lane of a four-lane highway with a large grassy median dividing two northbound and two southbound tr	1	60	3	0	2	2	41	7	69.365
337006323	2003-07-01	04:33	1	1	0	0	Vehicle to Object(s) -+- Non-collision	3	2	V1 was a 2003 Freightliner tractor hauling a 53' semi trailer filled with palletized cases of bleach.  V1 was traveling southbound on a straight level four-lane highway with two lanes southbound & two lanes northbound divided by a large grassy median.  Co	3	57	4	0	2	2	41	7	69.365
337006522	2003-09-01	05:30	2	1	1	0	Vehicle to vehicle -+- Rear end	4	4	V1, a passenger car, was traveling westbound at a high rate of speed in lane 4 of a wet, level, divided roadway that was dark but lighted.  V2, a tractor-tanker, was stopped westbound approximately 2 car lengths from the intersection in lane 3 for a red l	5	30	0	1	1	1	41	7	32.101
337006545	2003-10-01	23:55	5	4	1	0	Multi-vehicle -+- Rear end	4	4	This crash occurred near midnight in the right of two eastbound lanes on a straight section of a divided interstate.  The level asphalt road surface was dry and free of defects.  It was dark and the roadway was not lighted.  There were no adverse weather	2	35	2	1	9	2	41	7	32.101
